Date,Open,High,Low,Close,Adj Close,Volume
2023-01-12,140.000000,140.860001,139.220001,139.490005,134.830170,11001700
2023-01-13,135.600006,143.490005,134.800003,143.009995,138.232605,20200000
2023-01-17,141.169998,141.539993,139.229996,140.800003,136.096405,14292900
2023-01-18,138.919998,140.729996,136.410004,136.570007,132.007736,13392600
2023-01-19,135.320007,135.899994,133.589996,134.750000,130.248520,13303400
2023-01-20,135.160004,135.490005,133.550003,135.080002,130.567505,13092500
2023-01-23,135.119995,137.960007,134.820007,137.270004,132.684341,10487100
2023-01-24,136.419998,140.289993,135.000000,138.449997,133.824921,6945000
2023-01-25,138.050003,139.119995,137.250000,139.119995,134.472549,8967000
2023-01-26,139.419998,140.059998,138.360001,139.979996,135.303818,7487600
2023-01-27,140.610001,141.259995,139.750000,140.320007,135.632462,7489900
2023-01-30,139.229996,140.089996,138.910004,139.130005,134.482208,6729300
2023-01-31,139.880005,140.070007,138.250000,139.960007,135.284485,9188700
2023-02-01,138.210007,140.880005,138.119995,139.589996,134.926834,8841800
2023-02-02,140.000000,140.460007,138.000000,138.940002,134.298569,11822100
2023-02-03,138.179993,142.330002,138.130005,141.089996,136.376724,11501200
2023-02-06,140.229996,142.240005,140.029999,141.919998,137.179001,8406200
2023-02-07,141.380005,144.339996,141.179993,143.649994,138.851212,10447900
2023-02-08,142.649994,144.039993,142.279999,142.639999,137.874939,6958000
2023-02-09,143.119995,143.339996,139.869995,140.419998,135.729111,6443100
2023-02-10,139.779999,141.279999,138.589996,141.039993,136.328400,6582900
2023-02-13,141.300003,142.729996,140.740005,142.570007,137.807281,7134600
2023-02-14,142.500000,143.809998,141.600006,143.199997,138.416245,9249400
2023-02-15,141.610001,143.889999,141.300003,143.800003,138.996201,6728300
2023-02-16,142.910004,143.389999,141.679993,141.820007,137.082352,8165300
2023-02-17,140.979996,142.830002,140.070007,142.240005,137.488327,7948800
2023-02-21,140.690002,141.339996,138.750000,139.630005,134.965500,9996300
2023-02-22,138.919998,139.429993,137.440002,138.559998,133.931244,11107500
2023-02-23,138.729996,140.169998,137.940002,139.669998,135.004166,8068000
2023-02-24,139.110001,141.360001,138.929993,140.929993,136.222076,9126900
2023-02-27,142.110001,143.309998,141.720001,142.160004,137.410995,10014700
2023-02-28,142.940002,143.759995,141.899994,143.350006,138.561234,11019800
2023-03-01,142.100006,143.460007,141.800003,142.550003,137.787949,7139200
2023-03-02,142.240005,142.429993,139.539993,141.070007,136.357422,11106800
2023-03-03,141.509995,143.740005,141.080002,143.660004,138.860870,9513100
2023-03-06,143.440002,144.039993,142.660004,142.820007,138.048935,9261300
2023-03-07,142.009995,142.309998,137.809998,138.619995,133.989243,11747600
2023-03-08,138.000000,138.589996,136.889999,137.800003,133.196625,10002500
2023-03-09,136.759995,137.350006,129.220001,130.339996,125.985840,25888100
2023-03-10,128.960007,135.259995,127.820000,133.649994,129.185257,37599700
2023-03-13,131.210007,133.880005,129.410004,131.250000,126.865440,42901100
2023-03-14,135.279999,135.529999,131.289993,134.619995,130.122864,29648100
2023-03-15,130.979996,130.990005,126.730003,128.259995,123.975327,34280600
2023-03-16,128.009995,131.949997,126.019997,130.750000,126.382141,24558500
2023-03-17,128.380005,128.479996,125.449997,125.809998,121.607170,38396000
2023-03-20,126.989998,129.470001,126.010002,127.139999,122.892738,22875500
2023-03-21,130.589996,131.729996,130.190002,130.550003,126.188828,17807800
2023-03-22,130.559998,130.660004,127.080002,127.180000,122.931412,17250200
2023-03-23,127.900002,129.529999,126.019997,126.839996,122.602760,16677600
2023-03-24,125.629997,125.680000,123.110001,124.910004,120.737244,22311100
2023-03-27,126.790001,129.380005,126.290001,128.490005,124.197655,18853900
2023-03-28,128.710007,129.339996,127.739998,128.880005,124.574615,10820500
2023-03-29,130.100006,130.220001,127.769997,129.139999,124.825935,14595300
2023-03-30,129.949997,130.119995,127.650002,128.750000,124.448959,12134700
2023-03-31,129.660004,130.339996,128.850006,130.309998,125.956856,13105200
2023-04-03,129.910004,131.440002,129.410004,130.160004,125.811859,11775400
2023-04-04,130.500000,130.589996,127.410004,128.419998,124.129982,11579900
2023-04-05,126.800003,128.149994,126.459999,127.610001,124.315071,9614700
2023-04-06,127.000000,128.080002,126.860001,127.470001,124.178696,8760200
2023-04-10,126.540001,128.229996,126.220001,127.889999,124.587837,9477300
2023-04-11,128.300003,128.940002,127.540001,128.520004,125.201584,10516300
2023-04-12,129.179993,130.429993,128.059998,128.500000,125.182091,11821000
2023-04-13,128.460007,129.039993,126.830002,128.990005,125.659439,12450200
2023-04-14,135.149994,139.119995,134.899994,138.729996,135.147949,43931300
2023-04-17,139.949997,140.059998,137.660004,139.830002,136.219559,16050500
2023-04-18,140.270004,141.779999,139.029999,141.399994,137.749008,13760100
2023-04-19,141.229996,141.500000,140.399994,141.220001,137.573654,9158100
2023-04-20,139.910004,141.429993,139.839996,140.809998,137.174255,10586200
2023-04-21,139.740005,141.110001,138.779999,140.539993,136.911209,11842500
2023-04-24,140.460007,141.100006,140.039993,140.729996,137.096313,7567500
2023-04-25,139.600006,139.960007,137.630005,137.669998,134.115326,10629300
2023-04-26,137.619995,137.809998,134.000000,135.229996,131.738327,14416100
2023-04-27,136.000000,137.910004,135.660004,137.050003,133.511322,9041100
2023-04-28,136.559998,138.320007,135.669998,138.240005,134.670609,9881800
2023-05-01,142.259995,143.369995,140.830002,141.199997,137.554169,20415800
2023-05-02,141.399994,142.410004,138.429993,138.919998,135.333038,14113400
2023-05-03,138.440002,138.669998,135.759995,135.979996,132.468964,12930900
2023-05-04,134.960007,135.720001,131.809998,134.119995,130.656982,17089200
